Facets,raw_value,normalized_value,extracted_id,facet_type,conversation_observable,sensitivity,scoring_definition,abstention_reason
Learning through movement,Learning through movement,learning through movement,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Caffeine sensitivity gene,Caffeine sensitivity gene,caffeine sensitivity gene,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Hatefulness,Hatefulness,hatefulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Persistence:,Persistence:,persistence:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,psychological construct: perfectionistic strivings,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Wake-time consistency,Wake-time consistency,wake-time consistency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Numerical Reasoning:,Numerical Reasoning:,numerical reasoning:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,social-cognition variable: mentalizing network activation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Patriotism,Patriotism,patriotism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Leadership Styles:,Leadership Styles:,leadership styles:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Servility,Servility,servility,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
742. I Ching hexagram 24 resonance level,742. I Ching hexagram 24 resonance level,742. i ching hexagram 24 resonance level,742.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Enneagram Personality Types:,Enneagram Personality Types:,enneagram personality types:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Stress Recovery Ability,Stress Recovery Ability,stress recovery ability,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Troubleshooting technical issues,Troubleshooting technical issues,troubleshooting technical issues,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,defense-mechanism tendency: introjection,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Irritability,Irritability,irritability,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Travel-companions diversity,Travel-companions diversity,travel-companions diversity,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
627. Sacred text engagement: Quran surahs memorized,627. Sacred text engagement: Quran surahs memorized,627. sacred text engagement: quran surahs memorized,627.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Trust in others,Trust in others,trust in others,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Gamified-finance-app usage,Gamified-finance-app usage,gamified-finance-app usage,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
823. Buddhist practice: Eightfold Path – Right Intention level,823. Buddhist practice: Eightfold Path – Right Intention level,823. buddhist practice: eightfold path – right intention level,823.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Caffeine intake (mg/day),Caffeine intake (mg/day),caffeine intake (mg/day),,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Comfort with Vulnerability,Comfort with Vulnerability,comfort with vulnerability,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Anticipativeness,Anticipativeness,anticipativeness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points:,additional common parameters and their end points:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Avoiding:,Avoiding:,avoiding:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Home-security-system presence,Home-security-system presence,home-security-system presence,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,hexaco domain: honesty-humility,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),eating habits (home-cooked vs. eating out),,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Decision-Making Confidence,Decision-Making Confidence,decision-making confidence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Alignment with societal roles,Alignment with societal roles,alignment with societal roles,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,connectedness: belief in interconnections,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Quirkiness,Quirkiness,quirkiness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Creative resilience,Creative resilience,creative resilience,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Rapid cognitive processing,Rapid cognitive processing,rapid cognitive processing,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Cordiality,Cordiality,cordiality,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,types of mindfulness techniques used,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Economic reasoning,Economic reasoning,economic reasoning,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Conformity,Conformity,conformity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Pet-enrichment activities count,Pet-enrichment activities count,pet-enrichment activities count,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Aestheticism,Aestheticism,aestheticism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),type of support preferred (emotional vs. practical),,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Mental Arithmetic Speed,Mental Arithmetic Speed,mental arithmetic speed,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Patience: Resistance to anger,Patience: Resistance to anger,patience: resistance to anger,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Flawlessness,Flawlessness,flawlessness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Self-Efficacy,Self-Efficacy,self-efficacy,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Computer Skills:,Computer Skills:,computer skills:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
899. Jewish spiritual metric: Shabbat candle-lighting consistency,899. Jewish spiritual metric: Shabbat candle-lighting consistency,899. jewish spiritual metric: shabbat candle-lighting consistency,899.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Spelling Accuracy,Spelling Accuracy,spelling accuracy,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
793. Sufi practice: Dhikr repetitions / day,793. Sufi practice: Dhikr repetitions / day,793. sufi practice: dhikr repetitions / day,793.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Peacefulness,Peacefulness,peacefulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Doggedness,Doggedness,doggedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Decency,Decency,decency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Processed-food frequency,Processed-food frequency,processed-food frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
